time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi,temperature_2m,relative_humidity_2m,wind_speed_10m,surface_pressure,precipitation
2026-06-19 12:00:00,36.1,21.9,505.0,3.2,10.4,168.0,89.0,,,,,
2026-06-19 13:00:00,36.6,22.7,456.0,3.2,10.0,174.0,88.0,,,,,
2026-06-19 14:00:00,38.8,24.3,435.0,3.7,9.6,177.0,89.0,,,,,
2026-06-19 15:00:00,40.3,25.3,412.0,2.9,9.4,178.0,112.0,,,,,
2026-06-19 16:00:00,42.1,26.3,416.0,2.7,9.3,174.0,130.0,,,,,
2026-06-19 17:00:00,36.9,26.3,529.0,10.8,12.0,153.0,143.0,,,,,
2026-06-19 18:00:00,34.9,24.9,842.0,34.7,13.4,121.0,149.0,,,,,
2026-06-19 19:00:00,35.7,25.9,1264.0,67.8,15.3,77.0,144.0,,,,,
2026-06-19 20:00:00,54.9,45.4,1606.0,94.2,16.9,41.0,126.0,,,,,
2026-06-19 21:00:00,66.4,56.7,1822.0,108.3,18.0,22.0,99.0,,,,,
2026-06-19 22:00:00,69.8,60.3,1958.0,115.6,18.8,12.0,89.0,,,,,
2026-06-19 23:00:00,76.4,67.1,1962.0,117.2,18.4,5.0,92.0,,,,,
2026-06-20 00:00:00,77.8,70.5,1756.0,111.1,15.9,1.0,94.0,,,,,
2026-06-20 01:00:00,70.1,65.9,1418.0,99.3,12.1,0.0,97.0,,,,,
2026-06-20 02:00:00,62.4,59.6,1132.0,88.2,9.2,2.0,99.0,,,,,
2026-06-20 03:00:00,55.6,53.6,956.0,81.1,7.7,3.0,102.0,,,,,
2026-06-20 04:00:00,50.2,48.1,831.0,74.7,6.9,5.0,103.0,,,,,
2026-06-20 05:00:00,45.2,43.1,765.0,64.8,6.4,11.0,105.0,,,,,
2026-06-20 06:00:00,40.3,38.6,804.0,53.0,7.7,38.0,106.0,,,,,
2026-06-20 07:00:00,36.8,34.8,902.0,36.6,9.5,76.0,107.0,,,,,
2026-06-20 08:00:00,28.1,22.2,933.0,22.9,10.8,110.0,108.0,,,,,
2026-06-20 09:00:00,30.2,21.4,820.0,14.5,11.1,134.0,108.0,,,,,
2026-06-20 10:00:00,32.1,21.3,640.0,8.8,10.8,153.0,108.0,,,,,
2026-06-20 11:00:00,33.4,21.5,492.0,5.0,10.5,168.0,108.0,,,,,
2026-06-20 12:00:00,35.3,22.8,415.0,3.2,10.2,178.0,108.0,,,,,
2026-06-20 13:00:00,35.6,23.6,371.0,3.4,9.8,183.0,108.0,,,,,
2026-06-20 14:00:00,36.3,24.2,344.0,4.0,9.4,184.0,108.0,,,,,
2026-06-20 15:00:00,36.2,23.9,307.0,2.3,8.9,184.0,119.0,,,,,
2026-06-20 16:00:00,36.2,23.6,287.0,1.1,8.4,179.0,142.0,,,,,
2026-06-20 17:00:00,13.2,11.0,349.0,8.4,6.8,152.0,155.0,,,,,
2026-06-20 18:00:00,13.9,11.5,567.0,29.4,7.7,122.0,158.0,,,,,
2026-06-20 19:00:00,19.9,17.5,867.0,57.9,9.0,81.0,153.0,,,,,
2026-06-20 20:00:00,31.1,28.3,1089.0,75.5,9.5,51.0,135.0,,,,,
2026-06-20 21:00:00,27.4,24.5,1167.0,72.0,8.6,45.0,108.0,,,,,
2026-06-20 22:00:00,27.6,24.4,1168.0,57.5,6.9,50.0,99.0,,,,,
2026-06-20 23:00:00,28.0,24.7,1132.0,44.5,5.5,55.0,96.0,,,,,
2026-06-21 00:00:00,27.1,23.8,1059.0,37.3,4.6,54.0,93.0,,,,,
2026-06-21 01:00:00,25.3,22.2,949.0,31.5,3.9,53.0,89.0,,,,,
2026-06-21 02:00:00,23.5,20.7,847.0,26.5,3.3,52.0,86.0,,,,,
2026-06-21 03:00:00,21.4,19.0,766.0,22.2,2.7,50.0,83.0,,,,,
2026-06-21 04:00:00,19.7,17.1,693.0,18.8,2.2,49.0,80.0,,,,,
2026-06-21 05:00:00,20.4,17.2,634.0,12.7,2.6,60.0,77.0,,,,,
2026-06-21 06:00:00,21.0,17.9,601.0,12.5,4.1,75.0,75.0,,,,,
2026-06-21 07:00:00,23.6,20.0,582.0,12.0,6.2,95.0,74.0,,,,,
2026-06-21 08:00:00,28.2,20.0,547.0,10.9,7.9,115.0,73.0,,,,,
2026-06-21 09:00:00,24.2,16.8,470.0,8.4,9.1,133.0,72.0,,,,,
2026-06-21 10:00:00,20.4,13.4,377.0,5.3,10.0,151.0,72.0,,,,,
2026-06-21 11:00:00,20.7,13.1,313.0,3.0,10.3,162.0,72.0,,,,,
2026-06-21 12:00:00,21.2,13.2,304.0,2.4,9.6,164.0,71.0,,,,,
2026-06-21 13:00:00,22.0,13.8,326.0,2.6,8.4,161.0,70.0,,,,,
2026-06-21 14:00:00,23.0,14.6,347.0,3.2,7.4,156.0,91.0,,,,,
2026-06-21 15:00:00,24.3,15.7,353.0,3.1,7.0,153.0,108.0,,,,,
2026-06-21 16:00:00,27.3,17.9,359.0,3.3,6.9,150.0,121.0,,,,,
2026-06-21 17:00:00,33.5,21.4,381.0,6.2,6.3,145.0,128.0,,,,,
2026-06-21 18:00:00,31.7,22.5,432.0,16.6,6.4,121.0,131.0,,,,,
2026-06-21 19:00:00,31.1,25.9,500.0,31.1,6.4,88.0,124.0,,,,,
2026-06-21 20:00:00,35.0,30.4,563.0,42.8,6.5,60.0,109.0,,,,,
2026-06-21 21:00:00,39.7,34.9,626.0,49.6,6.6,44.0,86.0,,,,,
2026-06-21 22:00:00,41.3,36.8,684.0,53.6,6.7,33.0,71.0,,,,,
2026-06-21 23:00:00,40.3,35.7,708.0,54.4,6.5,26.0,72.0,,,,,
2026-06-22 00:00:00,36.9,32.8,674.0,50.9,5.7,22.0,73.0,,,,,
2026-06-22 01:00:00,33.6,30.2,606.0,44.2,4.6,22.0,73.0,,,,,
2026-06-22 02:00:00,31.2,28.5,543.0,36.9,3.6,27.0,74.0,,,,,
2026-06-22 03:00:00,29.5,27.2,479.0,28.9,2.8,38.0,75.0,,,,,
2026-06-22 04:00:00,25.7,23.3,420.0,20.5,2.2,53.0,75.0,,,,,
2026-06-22 05:00:00,17.1,14.8,425.0,8.2,1.9,89.0,76.0,,,,,
